"fecha";"Run Fondo";"serie";"periodo";"rent_acumulada"
2021-10-15;"9834";APV;"3M";-0.0017906160661157523936
2021-10-15;"9834";APV;"6M";-0.0006798383597948627294
2021-10-15;"9834";APV;"1Y";-0.0006798383597948627294
2021-10-15;"9834";APV;YTD;-0.0006798383597948627294
2021-10-16;"9834";APV;"1M";-0.0067676320683523856334
2021-10-16;"9834";APV;"3M";-0.0017925761404623953318
2021-10-16;"9834";APV;"6M";-0.0006900876943311946194
2021-10-16;"9834";APV;"1Y";-0.0006900876943311946194
2021-10-16;"9834";APV;YTD;-0.0006900876943311946194
2021-10-17;"9834";APV;"1M";-0.0067684072131961728236
2021-10-17;"9834";APV;"3M";-0.0017942291039624389912
2021-10-17;"9834";APV;"6M";-0.0007000295488314365517
2021-10-17;"9834";APV;"1Y";-0.0007000295488314365517
2021-10-17;"9834";APV;YTD;-0.0007000295488314365517
2021-10-18;"9834";APV;"1M";-0.0079034230270960360262
2021-10-18;"9834";APV;"3M";-0.0029358026223294874871
2021-10-18;"9834";APV;"6M";-0.0018510298172615080959
2021-10-18;"9834";APV;"1Y";-0.0018510298172615080959
2021-10-18;"9834";APV;YTD;-0.0018510298172615080959
2021-10-19;"9834";APV;"1M";-0.0061451678496131020896
2021-10-19;"9834";APV;"3M";0.0010566876280328383215
2021-10-19;"9834";APV;"6M";-0.0000907066106465464549
2021-10-19;"9834";APV;"1Y";-0.0000907066106465464549
2021-10-19;"9834";APV;YTD;-0.0000907066106465464549
2021-10-20;"9834";APV;"1M";-0.0031258737120082789331
2021-10-20;"9834";APV;"3M";0.0013244389634733047068
2021-10-20;"9834";APV;"6M";0.0013093524870164035227
2021-10-20;"9834";APV;"1Y";0.0013093524870164035227
2021-10-20;"9834";APV;YTD;0.0013093524870164035227
2021-10-21;"9834";APV;"1M";-0.0046952489470319588185
2021-10-21;"9834";APV;"3M";-0.0004702683079928574751
2021-10-21;"9834";APV;"6M";0.0001219670809823537914
2021-10-21;"9834";APV;"1Y";0.0001219670809823537914
2021-10-21;"9834";APV;YTD;0.0001219670809823537914
2021-10-22;"9834";APV;"1M";-0.0058610954147942412913
2021-10-22;"9834";APV;"3M";-0.0020889559622732656134
2021-10-22;"9834";APV;"6M";-0.0010304680942828041853
2021-10-22;"9834";APV;"1Y";-0.0010304680942828041853
2021-10-22;"9834";APV;YTD;-0.0010304680942828041853
2021-10-23;"9834";APV;"1M";-0.0059695221077925264450
2021-10-23;"9834";APV;"3M";-0.0027543789714420251175
2021-10-23;"9834";APV;"6M";-0.0010375401351128731880
2021-10-23;"9834";APV;"1Y";-0.0010375401351128731880
2021-10-23;"9834";APV;YTD;-0.0010375401351128731880
2021-10-24;"9834";APV;"1M";-0.0048470442648109214474
2021-10-24;"9834";APV;"3M";-0.0027532763005723398141
2021-10-24;"9834";APV;"6M";-0.0010447146692883055137
2021-10-24;"9834";APV;"1Y";-0.0010447146692883055137
2021-10-24;"9834";APV;YTD;-0.0010447146692883055137
2021-10-25;"9834";APV;"1M";-0.0029558161188110270146
2021-10-25;"9834";APV;"3M";-0.0008599902162683180339
2021-10-25;"9834";APV;"6M";0.0008436227256855018000
2021-10-25;"9834";APV;"1Y";0.0008436227256855018000
2021-10-25;"9834";APV;YTD;0.0008436227256855018000
2021-10-26;"9834";APV;"1M";-0.0022105794965230189498
2021-10-26;"9834";APV;"3M";-0.0006352794442102663353
2021-10-26;"9834";APV;"6M";0.0015815748123013492322
2021-10-26;"9834";APV;"1Y";0.0015815748123013492322
